timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1496978932121,308,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,6571,148,1,1,307,0,149
1496978932434,220,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,20990,155,1,1,149,0,0
1496978932655,119,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3651,152,1,1,119,0,0
1496978932775,104,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3488,155,1,1,104,0,0
1496978932880,104,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3539,164,1,1,104,0,0
1496978932985,328,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,38435,144,1,1,254,0,0
1496978933314,116,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,8289,159,1,1,115,0,0
1496978933432,105,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4993,146,1,1,105,0,0
1496978933540,111,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3536,163,1,1,111,0,0
1496978933653,111,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,6684,147,1,1,111,0,0
1496978933764,107,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,6658,148,1,1,106,0,0
1496978933872,98,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3466,151,1,1,98,0,0
1496978933971,102,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5173,167,1,1,101,0,0
1496978934074,102,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,6532,145,1,1,102,0,0
1496978934177,165,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3465,150,1,1,165,0,73
1496978934343,94,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3529,158,1,1,94,0,0
1496978934438,205,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,13618,156,1,1,205,0,0
1496978934644,153,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4750,169,1,1,153,0,0
1496978934798,185,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,7476,155,1,1,182,0,0
1496978934985,137,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3637,184,1,1,136,0,0
1496978935124,131,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3566,169,1,1,131,0,0
1496978935256,146,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,10475,154,1,1,146,0,0
1496978935404,139,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4080,157,1,1,139,0,0
1496978935544,137,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,6001,167,1,1,137,0,0
1496978935682,141,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5217,169,1,1,141,0,0
1496978935823,140,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3556,167,1,1,140,0,0
1496978935964,143,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3636,183,1,1,143,0,0
1496978936107,137,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3563,162,1,1,137,0,0
1496978936245,224,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,6387,170,1,1,224,0,71
1496978936470,130,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3619,179,1,1,129,0,0
1496978936601,148,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,11032,163,1,1,148,0,0
1496978936750,151,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3521,159,1,1,151,0,0
