timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1497032320096,1105,HTTP Request,200,,TenThreadClusterInstance 1-5,text,true,,3858,191,10,10,1105,0,71
1497032319762,1439,HTTP Request,200,,TenThreadClusterInstance 1-1,text,true,,6884,159,10,10,1439,0,160
1497032320297,907,HTTP Request,200,,TenThreadClusterInstance 1-7,text,true,,8737,181,10,10,905,0,72
1497032319897,1304,HTTP Request,200,,TenThreadClusterInstance 1-3,text,true,,3934,167,10,10,1304,0,73
1497032320483,718,HTTP Request,200,,TenThreadClusterInstance 1-9,text,true,,3856,189,10,10,718,0,78
1497032321208,356,HTTP Request,200,,TenThreadClusterInstance 1-5,text,true,,5545,197,10,10,356,0,0
1497032321217,469,HTTP Request,200,,TenThreadClusterInstance 1-9,text,true,,3741,163,10,10,464,0,0
1497032321206,515,HTTP Request,200,,TenThreadClusterInstance 1-1,text,true,,6964,159,10,10,507,0,0
1497032319996,1727,HTTP Request,200,,TenThreadClusterInstance 1-4,text,true,,3780,173,10,10,1727,0,78
1497032320397,1328,HTTP Request,200,,TenThreadClusterInstance 1-8,text,true,,5276,155,10,10,1326,0,77
1497032320596,1134,HTTP Request,200,,TenThreadClusterInstance 1-10,text,true,,6992,157,10,10,1130,0,74
1497032321206,633,HTTP Request,200,,TenThreadClusterInstance 1-7,text,true,,3745,165,10,10,633,0,0
1497032319799,2129,HTTP Request,200,,TenThreadClusterInstance 1-2,text,true,,21604,173,10,10,2049,0,123
1497032321727,307,HTTP Request,200,,TenThreadClusterInstance 1-8,text,true,,4027,231,10,10,307,0,0
1497032321210,841,HTTP Request,200,,TenThreadClusterInstance 1-3,text,true,,6829,153,10,10,841,0,0
1497032321732,380,HTTP Request,200,,TenThreadClusterInstance 1-10,text,true,,3899,201,10,10,380,0,0
1497032321566,553,HTTP Request,200,,TenThreadClusterInstance 1-5,text,true,,3827,179,10,10,553,0,0
1497032321722,509,HTTP Request,200,,TenThreadClusterInstance 1-1,text,true,,5087,201,10,10,509,0,0
1497032321724,623,HTTP Request,200,,TenThreadClusterInstance 1-4,text,true,,7829,173,10,10,623,0,0
1497032321687,725,HTTP Request,200,,TenThreadClusterInstance 1-9,text,true,,14056,175,10,10,649,0,0
1497032321929,496,HTTP Request,200,,TenThreadClusterInstance 1-2,text,true,,4380,177,10,10,496,0,74
1497032322113,452,HTTP Request,200,,TenThreadClusterInstance 1-10,text,true,,3883,197,10,10,452,0,0
1497032322035,550,HTTP Request,200,,TenThreadClusterInstance 1-8,text,true,,6381,197,10,10,549,0,0
1497032322120,465,HTTP Request,200,,TenThreadClusterInstance 1-5,text,true,,4024,229,10,10,465,0,72
1497032321840,801,HTTP Request,200,,TenThreadClusterInstance 1-7,text,true,,10883,171,10,10,798,0,0
1497032322052,597,HTTP Request,200,,TenThreadClusterInstance 1-3,text,true,,5598,201,10,10,596,0,74
1497032322414,377,HTTP Request,200,,TenThreadClusterInstance 1-9,text,true,,3986,221,10,10,377,0,0
1497032322232,613,HTTP Request,200,,TenThreadClusterInstance 1-1,text,true,,3878,187,10,10,612,0,72
1497032322566,417,HTTP Request,200,,TenThreadClusterInstance 1-10,text,true,,3824,181,10,10,417,0,0
1497032322426,586,HTTP Request,200,,TenThreadClusterInstance 1-2,text,true,,11447,189,10,10,576,0,0
1497032322348,720,HTTP Request,200,,TenThreadClusterInstance 1-4,text,true,,6784,203,10,10,720,0,72
1497032322587,486,HTTP Request,200,,TenThreadClusterInstance 1-5,text,true,,5236,195,10,10,485,0,0
1497032320196,2926,HTTP Request,200,,TenThreadClusterInstance 1-6,text,true,,39034,151,10,10,2776,0,72
1497032322650,569,HTTP Request,200,,TenThreadClusterInstance 1-3,text,true,,6363,179,10,10,569,0,0
1497032322586,658,HTTP Request,200,,TenThreadClusterInstance 1-8,text,true,,5440,193,10,10,657,0,72
1497032322642,668,HTTP Request,200,,TenThreadClusterInstance 1-7,text,true,,4696,203,10,10,668,0,71
1497032322792,603,HTTP Request,200,,TenThreadClusterInstance 1-9,text,true,,3839,185,10,10,603,0,74
1497032323013,430,HTTP Request,200,,TenThreadClusterInstance 1-2,text,true,,5501,151,10,10,430,0,0
1497032322846,636,HTTP Request,200,,TenThreadClusterInstance 1-1,text,true,,3883,197,10,10,636,0,0
1497032323069,463,HTTP Request,200,,TenThreadClusterInstance 1-4,text,true,,3943,215,10,10,462,0,0
